Name,Position
Lukáš Vorlický,ATT
Leonardo Mendicino,MIL
Mohamed Fares,MIL
Pablo Galdames,MIL
Petar Stojanović,DEF
Seydou Fini,MIL
Pablo Rodríguez,ATT
Martin Vetkal,MIL
Aleksandar Stanković,MIL
Wisdom Amey,DEF
Léandre Kuavita,MIL
Pietro Comi,DEF
Nicolò Armini,DEF
Gabriel Meli,G
Ola Solbakken,MIL
Christian Biagetti,DEF
Divock Origi,ATT
Diego Sia,ATT
Kalifa Kujabi,MIL
Mattia Malaspina,MIL
Dalbert,DEF
Andrea Bozzolan,DEF
Ivor Pandur,G
Mamadou Coulibaly,MIL
David Zima,DEF
Lorenzo Ignacchiti,MIL
Alessandro Vinciguerra,ATT
Federico Di Francesco,ATT
Alexandru Gabriel Borbei,G
Mats Lemmens,DEF
Yoan Atanasov Bornosuzov,ATT
Marco Benassi,MIL
Rocco Di Vico,MIL
Sandro Tonali,MIL
Edoardo Piana,G
Fodé Ballo-Touré,DEF
Mattia Chiesa,G
Enzo Ebosse,DEF
