Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
128,Guillermo Ochoa,mx MEX,Salernitana,it Serie A,38,1985,21,21,1890,44,2.10,115,72,67.8,0,6,15,1,4.8,7,0,0.0
129,Maduka Okoye,ng NGA,Udinese,it Serie A,23,1999,21,21,1890,25,1.19,89,65,75.3,5,8,8,5,23.8,3,0,0.0
130,Robin Olsen,se SWE,Aston Villa,eng Premier League,33,1990,5,4,405,13,2.89,34,20,61.8,1,0,3,0,0.0,0,1,100.0
131,Jonas Omlin,ch SUI,Gladbach,de Bundesliga,29,1994,7,7,630,18,2.57,47,29,66.0,1,2,4,0,0.0,2,0,0.0
132,André Onana,cm CMR,Manchester Utd,eng Premier League,27,1996,38,38,3420,58,1.53,203,146,74.9,18,6,14,9,23.7,7,0,0.0
133,Stefan Ortega,de GER,Manchester City,eng Premier League,30,1992,9,5,635,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,Unknown
134,Alexandre Oukidja,dz ALG,Metz,fr Ligue 1,35,1988,34,34,2987,57,1.72,185,128,72.4,8,5,21,6,17.6,6,0,0.0
135,Jesús Owono,gq EQG,Alavés,es La Liga,22,2001,4,4,360,8,2.00,24,16,66.7,1,2,1,1,25.0,0,0,Unknown
136,Rui Patrício,pt POR,Roma,it Serie A,35,1988,23,23,2070,27,1.17,74,49,66.2,11,5,7,6,26.1,2,0,0.0
137,Jiří Pavlenka,cz CZE,Werder Bremen,de Bundesliga,31,1992,7,7,630,17,2.43,38,21,60.5,2,0,5,1,14.3,2,0,0.0
138,Iñaki Peña,es ESP,Barcelona,es La Liga,24,1999,10,10,900,17,1.70,39,22,56.4,6,2,2,2,20.0,0,0,Unknown
139,Daniel Peretz,il ISR,Bayern Munich,de Bundesliga,23,2000,1,0,17,0,0.00,0,0,Unknown,0,0,0,1,Unknown,0,0,Unknown
