Player,Rk,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Nation,Pos,Squad,Comp,Calculated_Age,Goals_per_minute,Goals_per_90,Assists_per_90
Mattéo Guendouzi,1052,24.0,1999.0,35,27.0,2386,26.5,2,3,5,2,0,0,3,0,2.1,2.1,2.3,4.4,48.0,120.0,80.0,0.08,0.11,0.19,0.08,0.19,0.445,0.09,0.7750000000000001,0.395,0.7250000000000001,fr FRA,MF,Lazio,it Serie A,26.0,0.0008378718056137411,0.07544322897019992,0.11316484345529988
Matz Sels,2406,31.0,1992.0,35,35.0,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,be BEL,GK,Nott'ham Forest,eng Premier League,33.0,0.0,0.0,0.0
Matìas Soulé,2486,20.0,2003.0,36,36.0,3121,34.7,5,3,10,5,0,0,4,0,5.3500000000000005,4.85,4.35,9.55,77.0,178.5,183.0,0.32,0.09,0.4,0.17,0.26,0.3,0.19,0.49,0.17,0.36,ar ARG,"FW,MF",Frosinone,it Serie A,22.0,0.0016015374759769379,0.14405070584845867,0.08643042350907519
Matías Vecino,2682,31.0,1991.0,31,8.0,1153,12.8,5,1,7,5,0,0,8,0,3.7,3.7,0.4,4.1,16.0,74.0,43.0,0.4,0.08,0.55,0.375,0.55,0.29,0.03,0.32,0.29,0.32,uy URU,MF,Lazio,it Serie A,34.0,0.004332755632582322,0.39032006245121,0.078064012490242
Matías Viña,2711,25.0,1997.0,15,13.0,1014,11.3,0,3,3,0,0,0,1,0,0.3,0.3,1.4,1.7,24.0,46.0,37.0,0.0,0.27,0.27,0.0,0.27,0.03,0.12,0.15,0.03,0.15,uy URU,DF,Sassuolo,it Serie A,28.0,0.0,0.0,0.2652519893899204
Matúš Bero,296,27.0,1995.0,24,20.0,1661,18.5,1,1,2,1,0,0,6,0,2.9,2.9,1.3,4.2,12.0,48.0,71.0,0.05,0.05,0.11,0.05,0.11,0.16,0.07,0.23,0.16,0.23,sk SVK,"MF,FW",Bochum,de Bundesliga,30.0,0.0006016847172081829,0.05402485143165856,0.05402485143165856
Mauro Arambarri,122,27.0,1995.0,7,3.0,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,uy URU,MF,Getafe,es La Liga,30.0,0.0,0.0,0.0
Max Aarons,1,23.0,2000.0,20,13.0,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22.0,43.0,26.0,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,eng ENG,DF,Bournemouth,eng Premier League,25.0,0.0,0.0,0.07293946024799416
Max Finkgräfe,880,19.0,2004.0,24,18.0,1756,19.5,1,0,1,1,0,0,4,0,1.0,1.0,1.6,2.6,51.0,53.0,59.0,0.05,0.0,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13,de GER,"DF,FW",Köln,de Bundesliga,21.0,0.0005691519635742744,0.05125576627370579,0.0
Max Kilman,1338,26.0,1997.0,38,38.0,3420,38.0,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,eng ENG,DF,Wolves,eng Premier League,28.0,0.0005846243788365975,0.052617732175743226,0.0
