Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
2559,Elayis Tavsan,nl NED,ATT,Hellas Verona,it Serie A,22.0,2001.0,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,elayis tavsan,exact
2560,Charlie Taylor,eng ENG,DG,Burnley,eng Premier League,29.0,1993.0,28,25,2331,25.9,1,1,2,1,0,0,8,0,0.2,0.2,1.2,1.5,36.0,82.0,81.0,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,charlie taylor,exact
2561,Marciano Tchami,gw GNB,"FW,MF",Almería,es La Liga,19.0,2004.0,6,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.17,0.06,0.17,marciano tchami,original
2562,Loum Tchaouna,fr FRA,ATT,Salernitana,it Serie A,19.0,2003.0,33,23,2100,23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,72.0,59.0,151.0,0.17,0.13,0.3,0.17,0.3,0.11,0.06,0.18,0.11,0.18,loum tchaouna,exact
2563,Jackson Tchatchoua,cm CMR,DD,Hellas Verona,it Serie A,21.0,2001.0,26,19,1725,19.2,0,2,2,0,0,0,2,0,0.0,0.0,1.3,1.3,34.0,53.0,66.0,0.0,0.1,0.1,0.0,0.1,0.0,0.07,0.07,0.0,0.07,jackson tchatchoua,exact
2564,Enzo Tchato,cm CMR,DD,Montpellier,fr Ligue 1,20.0,2002.0,17,11,1125,12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,26.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,enzo tchato,exact
2565,Aurélien Tchouaméni,fr FRA,MDC,Real Madrid,es La Liga,23.0,2000.0,27,22,1987,22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28.0,111.0,15.0,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.1,0.06,0.1,aurelien tchouameni,exact
2566,Mathys Tel,fr FRA,AD,Bayern Munich,de Bundesliga,18.0,2005.0,30,6,1050,11.7,7,5,12,7,0,0,2,0,3.7,3.7,2.3,6.0,45.0,27.0,122.0,0.6,0.43,1.03,0.6,1.03,0.32,0.2,0.52,0.32,0.52,mathys tel,exact
2567,Nathan Tella,ng NGA,MOC,Leverkusen,de Bundesliga,24.0,1999.0,24,8,819,9.1,5,2,7,5,0,0,2,0,3.5,3.5,3.2,6.7,35.0,28.0,114.0,0.55,0.22,0.77,0.55,0.77,0.38,0.35,0.73,0.38,0.73,nathan tella,exact
2568,Nahuel Tenaglia,ar ARG,DC,Alavés,es La Liga,27.0,1996.0,25,11,1141,12.7,1,0,1,1,0,0,5,0,0.6,0.6,0.5,1.2,17.0,45.0,24.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,nahuel tenaglia,exact
2569,Arnau Tenas,es ESP,G,Paris S-G,fr Ligue 1,22.0,2001.0,6,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.13,0.13,0.0,0.13,arnau tenas,exact
2570,Marc-André ter Stegen,de GER,G,Barcelona,es La Liga,31.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,marc-andre ter stegen,exact
2571,Filippo Terracciano,it ITA,DG,Hellas Verona,it Serie A,20.0,2003.0,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26.0,51.0,28.0,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.09,0.02,0.09,filippo terracciano,exact
2572,Filippo Terracciano,it ITA,DG,Milan,it Serie A,20.0,2003.0,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,filippo terracciano,exact
2573,Pietro Terracciano,it ITA,G,Fiorentina,it Serie A,33.0,1990.0,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,pietro terracciano,exact
2574,Ramón Terrats,es ESP,MC,Villarreal,es La Liga,22.0,2000.0,19,6,785,8.7,0,2,2,0,0,0,4,0,0.4,0.4,1.6,1.9,19.0,38.0,54.0,0.0,0.23,0.23,0.0,0.23,0.04,0.18,0.22,0.04,0.22,ramon terrats,exact
2575,Martin Terrier,fr FRA,BU,Rennes,fr Ligue 1,26.0,1997.0,24,19,1527,17.0,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28.0,58.0,112.0,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46,martin terrier,exact
2576,Kenny Tete,nl NED,DD,Fulham,eng Premier League,27.0,1995.0,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,20.0,54.0,38.0,0.1,0.0,0.1,0.1,0.1,0.09,0.04,0.13,0.09,0.13,kenny tete,exact
2577,Benjamin Tetteh,gh GHA,BU,Metz,fr Ligue 1,26.0,1997.0,12,1,278,3.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,3.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,benjamin tetteh,exact
2578,Teddy Teuma,mt MLT,MC,Reims,fr Ligue 1,29.0,1993.0,28,25,2113,23.5,6,3,9,5,1,1,7,0,3.1,2.3,3.7,6.0,29.0,157.0,112.0,0.26,0.13,0.38,0.21,0.34,0.13,0.16,0.29,0.1,0.26,teddy teuma,exact
2579,Florian Thauvin,fr FRA,BU,Udinese,it Serie A,30.0,1993.0,29,19,1710,19.0,5,3,8,4,1,1,4,0,4.7,3.9,4.2,8.2,71.0,69.0,97.0,0.26,0.16,0.42,0.21,0.37,0.25,0.22,0.47,0.21,0.43,florian thauvin,exact
2580,Arthur Theate,be BEL,DC,Rennes,fr Ligue 1,23.0,2000.0,28,27,2296,25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33.0,151.0,24.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11,arthur theate,exact
2581,Norman Theuerkauf,de GER,MDC,Heidenheim,de Bundesliga,36.0,1987.0,25,14,1259,14.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,15.0,46.0,17.0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09,norman theuerkauf,exact
2582,Malick Thiaw,de GER,DC,Milan,it Serie A,21.0,2001.0,21,19,1619,18.0,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,15.0,70.0,1.0,0.0,0.06,0.06,0.0,0.06,0.03,0.01,0.04,0.03,0.04,malick thiaw,exact
2583,Jan Thielmann,de GER,BU,Köln,de Bundesliga,21.0,2002.0,22,20,1579,17.5,1,0,1,1,0,0,4,1,2.3,2.3,1.1,3.3,46.0,51.0,69.0,0.06,0.0,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,jan thielmann,exact
2584,Denis Thomalla,de GER,MC,Heidenheim,de Bundesliga,30.0,1992.0,21,3,446,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.13,0.06,0.13,denis thomalla,exact
2585,Luke Thomas,eng ENG,MG,Sheffield Utd,eng Premier League,22.0,2001.0,12,11,917,10.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.05,0.06,luke thomas,exact
2586,Adrien Thomasson,fr FRA,MOC,Lens,fr Ligue 1,29.0,1993.0,29,13,1193,13.3,1,2,3,1,0,0,2,1,3.8,3.8,3.9,7.7,20.0,68.0,121.0,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58,adrien thomasson,exact
2587,Morten Thorsby,no NOR,MIL,Genoa,it Serie A,27.0,1996.0,24,9,1157,12.9,2,2,4,2,0,0,2,0,1.8,1.8,1.4,3.2,6.0,28.0,39.0,0.16,0.16,0.31,0.16,0.31,0.14,0.11,0.25,0.14,0.25,morten thorsby,exact
2588,Kristian Thorstvedt,no NOR,MOC,Sassuolo,it Serie A,24.0,1999.0,34,30,2397,26.6,6,1,7,6,0,0,7,0,4.4,4.4,1.6,5.9,30.0,130.0,94.0,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22,kristian thorstvedt,exact
2589,Khéphren Thuram,fr FRA,MC,Nice,fr Ligue 1,22.0,2001.0,27,25,2108,23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7.0,67.0,104.0,57.0,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.3,0.14,0.3,khephren thuram,exact
2590,Marcus Thuram,fr FRA,BU,Inter,it Serie A,25.0,1997.0,35,34,2687,29.9,13,7,20,13,0,0,3,0,14.3,14.3,3.7,18.0,68.0,47.0,192.0,0.44,0.23,0.67,0.44,0.67,0.48,0.12,0.6,0.48,0.6,marcus thuram,exact
2591,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,fr Ligue 1,24.0,1999.0,29,17,1379,15.3,3,1,4,3,0,0,4,0,2.7,2.7,1.2,3.8,37.0,36.0,75.0,0.2,0.07,0.26,0.2,0.26,0.17,0.08,0.25,0.17,0.25,cheikh tidiane sabaly,original
2592,Youri Tielemans,be BEL,MC,Aston Villa,eng Premier League,26.0,1997.0,32,17,1622,18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23.0,128.0,46.0,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,youri tielemans,exact
2593,Kieran Tierney,sct SCO,DEF,Real Sociedad,es La Liga,26.0,1997.0,20,14,1238,13.8,0,2,2,0,0,0,1,0,0.2,0.2,0.6,0.8,22.0,77.0,39.0,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06,kieran tierney,exact
2594,Phillip Tietz,de GER,BU,Augsburg,de Bundesliga,26.0,1997.0,34,31,2382,26.5,8,4,12,8,0,0,1,0,8.2,8.2,2.6,10.8,19.0,51.0,115.0,0.3,0.15,0.45,0.3,0.45,0.31,0.1,0.41,0.31,0.41,phillip tietz,exact
2595,Steffen Tigges,de GER,BU,Köln,de Bundesliga,25.0,1998.0,25,6,727,8.1,3,0,3,3,0,0,0,0,2.6,2.6,1.6,4.1,9.0,10.0,48.0,0.37,0.0,0.37,0.37,0.37,0.32,0.19,0.51,0.32,0.51,steffen tigges,exact
2596,Antonio Tikvić,hr CRO,DEF,Udinese,it Serie A,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,antonio tikvic,exact
2597,Jurriën Timber,nl NED,DG,Arsenal,eng Premier League,22.0,2001.0,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jurrien timber,exact
2598,Jean-Clair Todibo,fr FRA,DC,Nice,fr Ligue 1,23.0,1999.0,30,30,2651,29.5,0,2,2,0,0,0,2,1,0.6,0.6,1.6,2.2,32.0,150.0,11.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08,jean-clair todibo,exact
2599,Harry Toffolo,eng ENG,DG,Nott'ham Forest,eng Premier League,27.0,1995.0,23,15,1459,16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,10.0,42.0,34.0,0.06,0.19,0.25,0.06,0.25,0.1,0.1,0.2,0.1,0.2,harry toffolo,exact
2600,Umut Tohumcu,de GER,MC,Hoffenheim,de Bundesliga,18.0,2004.0,20,12,1011,11.2,0,2,2,0,0,0,5,0,0.5,0.5,1.1,1.6,18.0,46.0,27.0,0.0,0.18,0.18,0.0,0.18,0.04,0.1,0.14,0.04,0.14,umut tohumcu,exact
2601,Corentin Tolisso,fr FRA,MC,Lyon,fr Ligue 1,28.0,1994.0,25,21,1741,19.3,2,1,3,1,1,1,5,0,3.2,2.4,1.8,4.2,30.0,153.0,67.0,0.1,0.05,0.16,0.05,0.1,0.17,0.09,0.26,0.13,0.22,corentin tolisso,exact
2602,Jeremy Toljan,de GER,DD,Sassuolo,it Serie A,28.0,1994.0,25,24,2083,23.1,0,5,5,0,0,0,1,0,0.6,0.6,1.6,2.1,35.0,79.0,85.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.09,0.02,0.09,jeremy toljan,exact
2603,Rafael Tolói,it ITA,DC,Atalanta,it Serie A,32.0,1990.0,18,10,965,10.7,0,0,0,0,0,0,6,1,0.1,0.1,0.1,0.1,8.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,rafael toloi,exact
2604,Raúl de Tomás,es ESP,BU,Rayo Vallecano,es La Liga,28.0,1994.0,25,15,1272,14.1,1,2,3,0,1,1,5,0,3.4,2.6,1.3,3.9,11.0,23.0,73.0,0.07,0.14,0.21,0.0,0.14,0.24,0.09,0.33,0.18,0.28,raul de tomas,exact
2605,Tiago Tomás,pt POR,BU,Wolfsburg,de Bundesliga,21.0,2002.0,26,11,1032,11.5,1,1,2,1,0,0,3,0,2.7,2.7,0.8,3.5,21.0,17.0,112.0,0.09,0.09,0.17,0.09,0.17,0.23,0.07,0.3,0.23,0.3,tiago tomas,exact
2606,Takehiro Tomiyasu,jp JPN,DG,Arsenal,eng Premier League,24.0,1998.0,22,10,1149,12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,17.0,72.0,37.0,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,takehiro tomiyasu,exact
2607,James Tomkins,eng ENG,DEF,Crystal Palace,eng Premier League,34.0,1989.0,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,james tomkins,exact
2608,Fikayo Tomori,eng ENG,DC,Milan,it Serie A,25.0,1997.0,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16.0,63.0,2.0,0.17,0.0,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16,fikayo tomori,exact
2609,Sandro Tonali,it ITA,MC,Newcastle Utd,eng Premier League,23.0,2000.0,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11.0,19.0,21.0,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,sandro tonali,exact
2610,Ivan Toney,eng ENG,BU,Brentford,eng Premier League,27.0,1996.0,17,16,1450,16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,23.0,40.0,98.0,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,ivan toney,exact
2611,Pablo Torre,es ESP,MOC,Girona,es La Liga,20.0,2003.0,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25.0,65.0,40.0,0.0,0.26,0.26,0.0,0.26,0.1,0.11,0.21,0.1,0.21,pablo torre,exact
2612,Raúl Torrente,es ESP,DC,Granada,es La Liga,21.0,2001.0,17,14,1250,13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,raul torrente,exact
2613,Ferrán Torres,es ESP,BU,Barcelona,es La Liga,23.0,2000.0,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30.0,44.0,113.0,0.52,0.15,0.67,0.52,0.67,0.41,0.2,0.61,0.41,0.61,ferran torres,exact
2614,Óliver Torres,es ESP,MC,Sevilla,es La Liga,28.0,1994.0,27,18,1616,18.0,0,1,1,0,0,0,3,0,0.5,0.5,2.2,2.7,40.0,96.0,110.0,0.0,0.06,0.06,0.0,0.06,0.03,0.12,0.15,0.03,0.15,oliver torres,exact
2615,Pau Torres,es ESP,DC,Aston Villa,eng Premier League,26.0,1997.0,29,27,2464,27.4,2,0,2,2,0,0,1,0,1.0,1.0,0.4,1.4,42.0,128.0,16.0,0.07,0.0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,pau torres,exact
2616,Lucas Torró,es ESP,MC,Osasuna,es La Liga,29.0,1994.0,28,21,1788,19.9,1,0,1,1,0,0,5,0,1.5,1.5,0.6,2.0,3.0,60.0,15.0,0.05,0.0,0.05,0.05,0.05,0.07,0.03,0.1,0.07,0.1,lucas torro,exact
2617,Fabio Torsiello,it ITA,BU,Darmstadt 98,de Bundesliga,18.0,2005.0,10,1,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,fabio torsiello,exact
2618,Ahmed Touba,dz ALG,DC,Lecce,it Serie A,25.0,1998.0,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,ahmed touba,exact
2619,Abdoulaye Touré,gn GUI,MC,Le Havre,fr Ligue 1,29.0,1994.0,30,27,2284,25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22.0,148.0,25.0,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09,abdoulaye toure,exact
2620,Souleymane Touré,fr FRA,DF,Lorient,fr Ligue 1,20.0,2003.0,24,23,2051,22.8,1,1,2,1,0,0,6,0,1.7,1.7,0.4,2.2,24.0,73.0,25.0,0.04,0.04,0.09,0.04,0.09,0.08,0.02,0.1,0.08,0.1,souleymane toure,original
2621,Lucas Tousart,fr FRA,MC,Union Berlin,de Bundesliga,26.0,1997.0,23,18,1572,17.5,0,0,0,0,0,0,5,0,1.5,1.5,0.9,2.4,15.0,51.0,33.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,lucas tousart,exact
2622,Andros Townsend,eng ENG,MOC,Luton Town,eng Premier League,32.0,1991.0,27,14,1210,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,47.0,35.0,71.0,0.07,0.22,0.3,0.07,0.3,0.09,0.1,0.19,0.09,0.19,andros townsend,exact
2623,James Trafford,eng ENG,G,Burnley,eng Premier League,20.0,2002.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,james trafford,exact
2624,Adama Traoré,es ESP,AG,Fulham,eng Premier League,27.0,1996.0,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29.0,16.0,48.0,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,adama traore,exact
2625,Bertrand Traoré,bf BFA,MIL,Aston Villa,eng Premier League,27.0,1995.0,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bertrand traore,exact
2626,Bertrand Traoré,bf BFA,MIL,Villarreal,es La Liga,27.0,1995.0,11,6,568,6.3,1,0,1,1,0,0,4,0,0.9,0.9,0.4,1.3,29.0,30.0,63.0,0.16,0.0,0.16,0.16,0.16,0.15,0.06,0.21,0.15,0.21,bertrand traore,exact
2627,Boubacar Traoré,ml MLI,MC,Wolves,eng Premier League,21.0,2001.0,24,7,819,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,9.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,boubacar traore,exact
2628,Chaka Traorè,ci CIV,ATT,Milan,it Serie A,18.0,2004.0,2,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,4.5,0.0,4.5,4.5,4.5,0.35,0.0,0.35,0.35,0.35,chaka traore,exact
2629,Daouda Traoré,fr FRA,MIL,Nice,fr Ligue 1,17.0,2006.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,daouda traore,exact
2630,Hamari Traoré,ml MLI,DD,Real Sociedad,es La Liga,31.0,1992.0,31,27,2292,25.5,0,2,2,0,0,0,7,0,0.5,0.5,1.5,2.1,49.0,129.0,83.0,0.0,0.08,0.08,0.0,0.08,0.02,0.06,0.08,0.02,0.08,hamari traore,exact
2631,Ismaël Traoré,ci CIV,DC,Metz,fr Ligue 1,36.0,1986.0,26,25,2220,24.7,2,0,2,2,0,0,2,0,0.8,0.8,0.2,1.0,1.0,32.0,1.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,ismael traore,exact
2632,Omar Traoré,de GER,DD,Heidenheim,de Bundesliga,25.0,1998.0,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61.0,78.0,91.0,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06,omar traore,exact
2633,Kevin Trapp,de GER,G,Eint Frankfurt,de Bundesliga,33.0,1990.0,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kevin trapp,exact
2634,Mark Travers,ie IRL,G,Bournemouth,eng Premier League,24.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mark travers,exact
2635,Óscar Trejo,ar ARG,BU,Rayo Vallecano,es La Liga,35.0,1988.0,31,19,1380,15.3,0,0,0,0,0,0,4,1,0.9,0.9,1.3,2.2,28.0,124.0,81.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,oscar trejo,exact
2636,Mike Trésor,be BEL,MG,Burnley,eng Premier League,24.0,1999.0,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.18,0.1,0.18,mike tresor,exact
2637,Manu Trigueros,es ESP,MOC,Villarreal,es La Liga,31.0,1991.0,14,2,309,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2,manu trigueros,exact
2638,Christopher Trimmel,at AUT,MD,Union Berlin,de Bundesliga,36.0,1987.0,26,19,1646,18.3,0,2,2,0,0,0,2,1,0.6,0.5,2.1,2.6,23.0,86.0,65.0,0.0,0.11,0.11,0.0,0.11,0.03,0.11,0.14,0.03,0.14,christopher trimmel,exact
2639,Kieran Trippier,eng ENG,DD,Newcastle Utd,eng Premier League,32.0,1990.0,28,26,2236,24.8,1,10,11,1,0,0,5,0,0.7,0.7,7.5,8.2,34.0,157.0,128.0,0.04,0.4,0.44,0.04,0.44,0.03,0.3,0.33,0.03,0.33,kieran trippier,exact
2640,Leandro Trossard,be BEL,BU,Arsenal,eng Premier League,28.0,1994.0,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66.0,76.0,155.0,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,leandro trossard,exact
2641,Adrien Truffert,fr FRA,DG,Rennes,fr Ligue 1,21.0,2001.0,30,24,2145,23.8,1,2,3,1,0,0,6,0,1.7,1.7,1.8,3.5,51.0,98.0,181.0,0.04,0.08,0.13,0.04,0.13,0.07,0.08,0.15,0.07,0.15,adrien truffert,exact
2642,Auston Trusty,us USA,DC,Sheffield Utd,eng Premier League,24.0,1998.0,32,28,2572,28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,10.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,auston trusty,exact
2643,Kostas Tsimikas,gr GRE,DG,Liverpool,eng Premier League,27.0,1996.0,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,24.0,31.0,73.0,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15,kostas tsimikas,exact
2644,Viktor Tsyhankov,ua UKR,MD,Girona,es La Liga,25.0,1997.0,30,26,2052,22.8,8,7,15,8,0,0,0,0,6.2,6.2,5.9,12.1,65.0,89.0,226.0,0.35,0.31,0.66,0.35,0.66,0.27,0.26,0.53,0.27,0.53,viktor tsyhankov,fuzzy:viktor tsygankov
2645,Stefano Turati,it ITA,G,Frosinone,it Serie A,21.0,2001.0,31,31,2745,30.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stefano turati,exact
2646,Matt Turner,us USA,G,Nott'ham Forest,eng Premier League,29.0,1994.0,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matt turner,exact
2647,Beñat Turrientes,es ESP,MC,Real Sociedad,es La Liga,21.0,2002.0,29,19,1687,18.7,0,1,1,0,0,0,4,0,1.2,1.2,0.5,1.8,26.0,51.0,31.0,0.0,0.05,0.05,0.0,0.05,0.06,0.03,0.09,0.06,0.09,benat turrientes,exact
2648,Tuta,br BRA,DC,Eint Frankfurt,de Bundesliga,24.0,1999.0,30,30,2600,28.9,1,2,3,1,0,0,3,2,1.4,1.4,2.1,3.5,22.0,138.0,46.0,0.03,0.07,0.1,0.03,0.1,0.05,0.07,0.12,0.05,0.12,tuta,exact
2649,Destiny Udogie,it ITA,DG,Tottenham,eng Premier League,20.0,2002.0,28,28,2391,26.6,2,3,5,2,0,0,7,1,2.4,2.4,2.2,4.6,83.0,155.0,138.0,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17,destiny udogie,exact
2650,Matthieu Udol,fr FRA,DG,Metz,fr Ligue 1,27.0,1996.0,30,30,2700,30.0,3,3,6,3,0,0,5,0,1.4,1.4,3.1,4.5,46.0,98.0,86.0,0.1,0.1,0.2,0.1,0.2,0.05,0.1,0.15,0.05,0.15,matthieu udol,exact
2651,Manuel Ugarte Ribeiro,uy URU,MF,Paris S-G,fr Ligue 1,22.0,2001.0,25,21,1932,21.5,0,2,2,0,0,0,5,0,0.6,0.6,0.9,1.5,16.0,87.0,24.0,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.07,0.03,0.07,manuel ugarte ribeiro,original
