Name,Position
Rafał Gikiewicz,G
Arijon Ibrahimović,ATT
Adam Aznou,DEF
Thorgan Hazard,MIL
Jaaso Jantunen,G
Patrick Herrmann,ATT
Noah Sarenren-Bazee,MIL
Masaya Okugawa,MIL
André Leipold,ATT
Oscar Fraulo,MIL
Samuele Di Benedetto,MIL
Guillermo Bueno López,DEF
Timothy Fosu-Mensah,DEF
Nemanja Čelić,DEF
Lasse Wilhelm,DEF
Conor Noß,MIL
Niklas Lomb,G
Daniel Katić,DEF
Prince Adu-Addae Junior Aning,MIL
Gabriel Marušić,DEF
Anderson Lucoqui,DEF
Moritz Römling,DEF
Daniel-Kofi Kyereh,MIL
Maurice Malone,ATT
Lino Tempelmann,MIL
Luca Unbehaun,G
Ondrej Duda,MIL
Justin Janitzek,DEF
Elias Bakatukanda,DEF
Benjamin Leneis,G
Soumaïla Coulibaly,DEF
Simon Simoni,G
Tim Schleinitz,MIL
Franz Pfanne,MIL
Moussa Cisse,ATT
Ryan Nils Johansson,ATT
Cimo Patric Röcker,DEF
Dženan Pejčinović,ATT
Bright Arrey-Mbi,DEF
Reece Oxford,DEF
Kauã Santos,G
Jannes-Kilian Horn,DEF
Kelvin Yeboah,ATT
Josep Martínez,G
Irvin Cardona,ATT
Damion Downs,ATT
Leopold Zingerle,G
Paulinho,ATT
El Chadaille Bitshiabu,DEF
Noel Futkeu,ATT
Delano Burgzorg,ATT
Rick van Drongelen,DEF
Jan Olschowsky,G
Frans Krätzig,MIL
Jens Petter Hauge,ATT
Sergio Córdova,ATT
Kenneth Schmidt,DEF
Luke Kevin Gauer,G
Mathis Bruns,DEF
Oscar Schönfelder,ATT
Japhet Tanganga,DEF
Henry Jon Crosthwaite,ATT
Maxim Dal,DEF
Noël Aséko,MIL
Ilia Gruev,MIL
Max Schmitt,G
Luka Janeš,MIL
Lukáš Ambros,MIL
Tobias Sippel,G
Dominik Becker,DEF
Elias Niklas Baum,DEF
Tarek Buchmann,DEF
Christian Kühlwetter,ATT
Thomas Kastanaras,ATT
Francis Onyeka,ATT
