Unnamed: 0_level_0_Rk_x,Player,Nation,Pos,Squad,Comp,Unnamed: 6_level_0_Age_x,Unnamed: 7_level_0_Born_x,90s_x,Tackles_Tkl,Tackles_TklW,Tackles_zone_def,Tackles_zone_mid,Tackles_zone_att,duel_gagné,duel_total,duel_reussite%,duel_perdu,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Interceptions,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches,Tackles_par_90,Interceptions_par_90,Unnamed: 0_level_0_Rk_y,Unnamed: 6_level_0_Age_y,Unnamed: 7_level_0_Born_y,90s_y,passes_reussies,passes_tentees,passes_reussite%,passes_distance_totale,passes_progressives_distance,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches,passes_reussies_par_90
2622,Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27,1996,4.2,4.0,3,1.0,2.0,1.0,3,6,50.0,3,2,0,2,1.0,5,2,0,Matches,0.9523809523809523,0.23809523809523808,2622,27,1996,4.2,97.0,139.0,69.8,1487.0,457.0,52,62,83.9,38,52,73.1,5,12,41.7,3,0.7,0.9,+2.3,7,3,9,4,16,Matches,23.095238095238095
1564,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,0.1,0.0,0,0.0,0.0,0.0,0,1,0.0,1,0,0,0,0.0,0,0,0,Matches,0.0,0.0,1564,20,2003,0.1,2.0,4.0,50.0,32.0,18.0,0,2,0.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches,20.0
1502,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,21.0,20.0,15,2.0,11.0,7.0,8,22,36.4,14,19,0,19,9.0,29,0,1,Matches,0.9523809523809523,0.42857142857142855,1502,25,1997,21.0,635.0,838.0,75.8,9115.0,2499.0,376,441,85.3,201,247,81.4,29,74,39.2,7,5.2,4.8,+1.8,50,46,32,2,97,Matches,30.238095238095237
1219,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28,1995,2.1,3.0,3,2.0,0.0,1.0,0,1,0.0,1,2,0,2,1.0,4,0,0,Matches,1.4285714285714286,0.47619047619047616,1219,28,1995,2.1,70.0,88.0,79.5,1250.0,244.0,35,38,92.1,23,28,82.1,10,18,55.6,0,0.0,0.2,0.0,2,6,1,1,9,Matches,33.33333333333333
347,Adri Bosch,es ESP,DF,Granada,es La Liga,22,2001,0.3,1.0,1,1.0,0.0,0.0,0,0,,0,0,0,0,0.0,1,1,0,Matches,3.3333333333333335,0.0,347,22,2001,0.3,11.0,14.0,78.6,211.0,61.0,6,7,85.7,2,2,100.0,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,36.66666666666667
813,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31,1992,27.5,55.0,37,29.0,15.0,11.0,26,53,49.1,27,37,1,36,15.0,70,12,0,Matches,2.0,0.5454545454545454,813,31,1992,27.5,609.0,928.0,65.6,9861.0,3039.0,339,396,85.6,179,263,68.1,67,173,38.7,2,4.4,3.6,-2.4,52,40,25,16,58,Matches,22.145454545454545
244,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26,1997,10.8,22.0,13,8.0,12.0,2.0,9,24,37.5,15,17,0,17,4.0,26,15,0,Matches,2.0370370370370368,0.37037037037037035,244,26,1997,10.8,311.0,431.0,72.2,5102.0,1027.0,157,203,77.3,122,149,81.9,23,36,63.9,1,0.8,0.6,+0.2,11,25,5,0,29,Matches,28.796296296296294
1028,Adrian Grbić,at AUT,FW,Lorient,fr Ligue 1,26,1996,0.3,0.0,0,0.0,0.0,0.0,0,0,,0,0,0,0,0.0,0,0,0,Matches,0.0,0.0,1028,26,1996,0.3,7.0,13.0,53.8,85.0,6.0,6,8,75.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,23.333333333333336
1450,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24,1999,0.6,0.0,0,0.0,0.0,0.0,0,3,0.0,3,2,1,1,0.0,0,1,0,Matches,0.0,0.0,1450,24,1999,0.6,19.0,29.0,65.5,284.0,93.0,10,13,76.9,7,8,87.5,1,4,25.0,1,0.5,0.3,+0.5,4,2,0,0,0,Matches,31.666666666666668
2164,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28,1995,29.5,58.0,39,22.0,30.0,6.0,30,45,66.7,15,26,6,20,25.0,83,34,0,Matches,1.9661016949152543,0.847457627118644,2164,28,1995,29.5,996.0,1211.0,82.2,14960.0,3691.0,548,620,88.4,361,429,84.1,53,81,65.4,3,4.1,4.0,-1.1,26,103,23,10,120,Matches,33.76271186440678
2547,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29,1994,23.8,35.0,16,13.0,18.0,4.0,18,37,48.6,19,24,11,13,47.0,82,25,2,Matches,1.4705882352941175,1.9747899159663864,2547,29,1994,23.8,1106.0,1276.0,86.7,18937.0,5466.0,462,506,91.3,549,605,90.7,68,101,67.3,2,2.2,1.2,-0.2,19,81,10,3,90,Matches,46.470588235294116
2584,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29,1993,13.3,25.0,14,4.0,16.0,5.0,11,34,32.4,23,14,0,14,9.0,34,10,1,Matches,1.8796992481203008,0.6766917293233082,2584,29,1993,13.3,506.0,679.0,74.5,7672.0,1909.0,261,319,81.8,192,248,77.4,27,52,51.9,2,3.9,3.8,-1.9,30,44,15,3,68,Matches,38.045112781954884
