Name,Position
Moussa Dembélé,ATT
Yanis Massolin,MIL
Stéphane Sparagna,DEF
Adam Abeddou,ATT
Félix Lemaréchal,MIL
Julian Draxler,MIL
Aurélien Platret,DEF
Keyliane Abdallah,ATT
Castello Lukeba,DEF
Mathéo Bodmer,MIL
Pedro Ruiz,ATT
Calvin Stengs,MIL
Aliou Thiare,DEF
Fraser Hornby,ATT
Nordine Kandil,MIL
Amidou Doumbouya,MIL
Nassim Chadli,ATT
Alfred Gomis,G
Abdelwahed Wahib,DEF
Jules Bery,DEF
Loïc Badé,DEF
Théo Borne,G
Irvyn Lomami,DEF
Vignon Mathieu Patrick Ouotro,ATT
Wuilker Fariñez,G
Rafael Fernandes,DEF
Andy Delort,ATT
Yann Batola,G
Ilan Kebbal,MIL
Charles Divialle-Corbière,MIL
Ibrahima Baldé,ATT
Loum Tchaouna,ATT
Yaya Fofana,MIL
Hiang'a Mbock,MIL
Djeidi Gassama,ATT
Adel Azhardine Mahamoud,ATT
Florent Sanchez,MIL
Ibou Sané,ATT
Charles Traoré,DEF
Mohamed Sylla,DEF
Adama Bojang,ATT
Konrad de La Fuente,ATT
Vincent Burlet,DEF
Stéphane Diarra,ATT
Isak Pettersson,G
Tiago Morais,ATT
Aristide Wam,MIL
Nolan Bonte,MIL
Enzo Mongo,DEF
Ivan Adnan Joshua M'Bahia,DEF
Pablo Sarabia,MIL
Yacouba Barry,MIL
Gauthier Gallon,G
Jordan Robinand,MIL
Hugo Ekitike,ATT
Youssouf Koné,DEF
Albin Demouchy,DEF
Axel Disasi,DEF
Denis Petrić,G
Kayne Bonnevie,G
Yannis M'Bemba,DEF
Brice Negouai,DEF
Ismaël Boura,DEF
Carmel Mabanza,MIL
Rafik Messali,ATT
Rayan Bamba,DEF
Kasper Schmeichel,G
Branco van den Boomen,MIL
Mayssam Benama,MIL
Thomas Himeur,G
Anthony Musaba,ATT
Arbër Zeneli,MIL
Tom Pouilly,MIL
Rafik Guitane,MIL
Kevin Strootman,MIL
Adam Jakubech,G
Mamadou Camara,MIL
Joffrey Bazié,MIL
