Name,Position
Kristian Šekularac,MIL
Kallum Cesay,MIL
Mads Sørensen,DEF
Sam Curtis,DEF
Logan Pye,DEF
Nathan Moriah-Welsh,MIL
Japhet Tanganga,DEF
Mackenzie Hunt,MIL
Mason Greenwood,ATT
Bailey Peacock-Farrell,G
Joseph Charles Gardner,ATT
Oliver Scarles,DEF
Jayden Luker,MIL
Michael Obafemi,ATT
Amara Nallo,DEF
Marcel Sabitzer,MIL
Matija Šarkić,G
Kevin Mbabu,DEF
Dara Costelloe,ATT
Jamie Cumming,G
Anderson Arroyo,DEF
Troy Parrott,ATT
Harry Tyrer,G
Hákon Rafn Valdimarsson,G
Oliver Hammond,MIL
Diego Moreira,ATT
Álvaro Carreras,DEF
Jack Butland,G
Jamal Lewis,DEF
Kjell Scherpen,G
Luca Ashby-Hammond,G
Andi Zeqiri,ATT
Josh Wilson-Esbrand,DEF
Filip Marschall,G
Imari Samuels,DEF
Alex Gibson-Hammond,MIL
Tom Cannon,ATT
Hugo Lloris,G
Jaden Philogene,MIL
Calvin Ramsay,DEF
Jordan Smith,G
Alfie Dorrington,DEF
Roberto Firmino,ATT
Yangel Herrera,MIL
Evan Easton,DEF
Ademola Ola-Adebomi,ATT
Alex Murphy,DEF
Travis Enrique Hernes,MIL
Ryan Sessegnon,MIL
Trey Nyoni,MIL
Ethan Laird,DEF
Lawrence Vigouroux,G
Karl Darlow,G
Mazeed Ogungbo,DEF
Louis Jackson,DEF
Tanguy Ndombélé,MIL
James Balagizi,MIL
Marqes Muir,DEF
Jamie Donley,ATT
Jeff Hendrick,MIL
Slobodan Tedić,ATT
Aaron Donnelly,DEF
Michael Ndiweni,ATT
Adam Alan Harrison,G
Oliwier Zych,G
Mohamed Dräger,DEF
Dele Alli,MIL
Justin Devenny,MIL
Finley Christopher Ryan Munroe,DEF
Nicolas Pépé,ATT
Callum Marshall,ATT
James Tomkins,DEF
Noam Emeran,ATT
Ethan Wheatley,ATT
José Mateo Mejía Piedrahita,ATT
Joshua Philip Feeney,DEF
Mohamed Elneny,MIL
Sergi Canós,MIL
Nile John,MIL
James McConnell,MIL
Loïc Badé,DEF
Ethan Nwaneri,MIL
Karl Hein,G
Teddy Samuel Sharman-Lowe,G
James Norris,DEF
Sean McAllister,MIL
Matthew Lowton,DEF
Yan Couto,DEF
Lewis O'Brien,MIL
Jesurun Rak-Sakyi,MIL
Christian Pulišić,MIL
Finley Marjoram,MIL
Ainsley Maitland-Niles,MIL
Mateusz Musiałowski,MIL
James Hillson,G
Harry Amass,DEF
Alexander Paul Borto,G
Daniel Adu-Adjei,MIL
Marcel Lewis,MIL
Will Lankshear,ATT
Samy Chouchane,MIL
Jordan Henderson,MIL
Ciaran Clark,DEF
Dan Potts,DEF
Tarique Fosu,MIL
Lewis Koumas,ATT
Jamal Baptiste,DEF
Billy Blacker,ATT
Ben Knight,MIL
Kamarai Swyer,MIL
Devan Austin Tanton Pedraza,DEF
Connor McAvoy,DEF
Ben Greenwood,DEF
Ishé Samuels-Smith,DEF
Siriki Dembélé,MIL
Joel Valencia,MIL
Ethan Galbraith,MIL
Salah-Eddine Oulad M'Hand,MIL
Mikey Steven Danny Moore,MIL
